28	3	3	1.000000
8	6	6	1.000000
21	0	0	nan
17	0	0	nan
15	5	5	1.000000
46	2	2	1.000000
27	3	3	1.000000
42	2	2	1.000000
18	2	2	1.000000
41	0	0	nan
26	3	3	1.000000
39	2	2	1.000000
33	0	0	nan
49	0	0	nan
34	3	3	1.000000
40	0	0	nan
48	0	0	nan
23	2	2	1.000000
22	2	2	1.000000
38	2	2	1.000000
37	0	0	nan
13	0	0	nan
14	5	5	1.000000
45	0	0	nan
25	0	0	nan
35	3	3	1.000000
7	6	6	1.000000
47	2	2	1.000000
11	6	6	1.000000
19	2	2	1.000000
30	3	3	1.000000
24	2	2	1.000000
36	0	0	nan
31	3	3	1.000000
16	0	0	nan
29	0	0	nan
32	3	3	1.000000
10	6	6	1.000000
20	0	0	nan
43	2	2	1.000000
44	0	0	nan
9	6	6	1.000000
12	0	0	nan
